AIR_OP_EXPENSE,FL_ATT_EXPENSE,FOOD_EXPENSE,OTH_IN_FL_EXPENSE,PAX_SVC_EXPENSE,LINE_SVC_EXPENSE,CONTROL_EXPENSE,LANDING_FEES,AIR_SVC_EXPENSE,TRAFFIC_EXP_PAX,TRAFFIC_EXP_CARGO,TRAFFIC_EXP_OTH,TRAFFIC_EXPENSE,RES_EXP_PAX,RES_EXP_CARGO,RES_EXP_OTH,RES_EXPENSE,AD_EXP_PAX,AD_EXP_CARGO,AD_EXP_INST,AD_EXPENSE,ADMIN_EXPENSE,DEPR_EXP_MAINT,AMORTIZATION,TRANSPORT_EXP,TOTAL_OP_EXPENSE,MAINT_PROP_EQUIP,DEPR_PROP_EQUIP,MAINT_DEPR,SVC_SALES_OP_EXP,AIRLINE_ID,UNIQUE_CARRIER,UNIQUE_CARRIER_NAME,CARRIER,CARRIER_NAME,UNIQUE_CARRIER_ENTITY,REGION,CARRIER_GROUP_NEW,CARRIER_GROUP,YEAR,QUARTER
0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,20100,PO,Polar Air Cargo Airways,PO,Polar Air Cargo Airways,16757,A,3,3,2024,2
0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,20452,YX,Republic Airline,YX,Republic Airline,11029,L,3,3,2024,1
0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,20452,YX,Republic Airline,YX,Republic Airline,11029,L,3,3,2024,2
0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,20452,YX,Republic Airline,YX,Republic Airline,11029,L,3,3,2024,3
1674.03,0.00,0.00,0.00,0.00,367.14,2.01,22.04,391.19,0.00,-177.29,0.00,-177.29,0.00,74.69,0.00,74.69,0.00,0.00,0.00,0.00,36.31,0.00,0.00,53.79,2058.30,0.00,5.59,5.59,330.48,20100,PO,Polar Air Cargo Airways,PO,Polar Air Cargo Airways,16757,A,3,3,2024,3
4207.00,0.00,0.00,0.00,0.00,1948.51,4.77,41.38,1994.66,0.00,-1450.32,0.00,-1450.32,0.00,182.43,0.00,182.43,0.00,0.00,0.00,0.00,103.57,0.00,0.00,127.44,5176.81,0.00,12.05,12.05,842.38,20100,PO,Polar Air Cargo Airways,PO,Polar Air Cargo Airways,06758,D,3,3,2024,1
4544.33,430.17,0.97,217.14,648.27,0.00,0.00,2.21,2.21,35.71,0.00,200.29,235.99,0.00,0.00,0.00,0.00,0.00,0.00,3.76,3.76,361.89,0.00,12.15,0.00,5839.29,0.00,30.69,30.69,1294.97,20304,OO,SkyWest Airlines Inc.,OO,SkyWest Airlines Inc.,11025,L,3,3,2024,1
5597.71,0.00,0.00,0.00,0.00,0.00,0.00,-1.17,-1.17,0.00,337.55,0.00,337.55,0.00,0.00,0.00,0.00,0.00,0.00,0.45,0.45,1982.59,0.00,0.00,0.00,8026.97,0.00,109.85,109.85,2429.26,20447,U7,USA Jet Airlines Inc.,U7,USA Jet Airlines Inc.,16917,I,3,3,2024,3
6014.79,237.55,84.85,46.87,369.27,14.30,0.00,100.94,115.24,990.22,4.34,0.00,994.56,299.09,0.00,1.85,300.94,1.46,0.00,0.00,1.46,712.09,9.83,30.27,3.57,8610.44,0.00,58.43,58.43,2592.08,20422,SY,Sun Country Airlines d/b/a MN Airlines,SY,Sun Country Airlines d/b/a MN Airlines,16795,L,3,3,2024,3
6019.72,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,211.83,0.00,211.83,0.00,0.00,0.00,0.00,0.00,0.00,0.93,0.93,1815.58,0.00,0.00,0.00,8115.83,0.00,67.78,67.78,2096.11,20447,U7,USA Jet Airlines Inc.,U7,USA Jet Airlines Inc.,16917,I,3,3,2024,1
