Stock,Stock,Transaction,Politician,Filed,Traded,Description
ALK,"ALK
ALASKA AIR GROUP, INC.
ST","Sale
$1,001 - $15,000","Earl Blumenauer
House / D","Jan. 04, 2024","Dec. 13, 2023",PART OF MY SPOUSE'S RETIREMENT PORTFOLIO.
ALK,"ALK
ALASKA AIR GROUP, INC.
ST","Purchase
$1,001 - $15,000","Earl Blumenauer
House / D","Oct. 05, 2022","Sep. 30, 2022",PART OF MY SPOUSE'S RETIREMENT PORTFOLIO.
ALK,"ALK
OF THE TRANSACTION, I SOLD THE STOCK. ALASKA AIR GROUP, INC.
ST","Sale
$1,001 - $15,000","Earl Blumenauer
House / D","Apr. 01, 2022","Mar. 14, 2022",-
ALK,"ALK
ALASKA AIR GROUP, INC.
ST","Purchase
$1,001 - $15,000","Earl Blumenauer
House / D","Apr. 01, 2022","Feb. 24, 2022","DUE TO MISCOMMUNICATION WITH MY FINANCIAL ADVISOR, THIS STOCK WAS PURCHASED IN ERROR. ONCE I WAS INFORMED"
ALK,"ALK
ALASKA AIR GROUP, INC.
ST","Sale
$250,001 - $500,000","Victoria Spartz
House / R","Jun. 20, 2021","May. 17, 2021",-
ALK,"ALK
ALASKA AIR GROUP, INC.
ST","Sale
$15,001 - $50,000","Susan A. Davis
House / D","Mar. 13, 2020","Feb. 11, 2020",-
ALK,"ALK
ALASKA AIR GROUP, INC.
ST","Sale
$1,001 - $15,000","Michael John Gallagher
House / R","Feb. 08, 2020","Jan. 08, 2020",-
ALK,"ALK
ALASKA AIR GROUP, INC.
ST","Sale
$1,001 - $15,000","Nicholas Van Taylor
House / R","Apr. 15, 2019","Mar. 25, 2019",-
ALK,"ALK
ALASKA AIR GROUP, INC.
ST","Sale
$1,001 - $15,000","Donna Shalala
House / D","Apr. 27, 2020","Mar. 06, 2019",-
ALK,"ALK
ALASKA AIR GROUP, INC.
ST","Sale
$1,001 - $15,000","Donna Shalala
House / D","Apr. 27, 2020","Feb. 20, 2019",-
ALK,"ALK
ALASKA AIR GROUP, INC.
ST","Purchase
$1,001 - $15,000","Susan A. Davis
House / D","Jun. 15, 2018","May. 17, 2018",-
ALK,"ALK
ALASKA AIR GROUP, INC.
None","Purchase
$15,001 - $50,000","Susan A. Davis
House / D","Sep. 26, 2017","Aug. 25, 2017",-
ALGT,"ALGT
ALLEGIANT TRAVEL COMPANY - COMMON STOCK
ST","Sale
$1,001 - $15,000","Josh Gottheimer
House / D","Jul. 09, 2024","Jun. 18, 2024",-
ALGT,"ALGT
ALLEGIANT TRAVEL COMPANY
ST","Purchase
$1,001 - $15,000","Josh Gottheimer
House / D","Nov. 11, 2023","Oct. 16, 2023",-
ALGT,"ALGT
ALLEGIANT TRAVEL COMPANY
ST","Sale
$1,001 - $15,000","Josh Gottheimer
House / D","Oct. 15, 2023","Sep. 15, 2023",-
ALGT,"ALGT
ALLEGIANT TRAVEL COMPANY
ST","Sale
$1,001 - $15,000","Josh Gottheimer
House / D","Apr. 21, 2021","Mar. 08, 2021",-
ALGT,"ALGT
ALLEGIANT TRAVEL COMPANY
ST","Purchase
$1,001 - $15,000","Josh Gottheimer
House / D","Nov. 05, 2020","Oct. 16, 2020",-
ALGT,"ALGT
ALLEGIANT TRAVEL COMPANY
ST","Sale
$1,001 - $15,000","Josh Gottheimer
House / D","Oct. 13, 2020","Sep. 15, 2020",-
ALGT,"ALGT
ALLEGIANT TRAVEL COMPANY
ST","Sale
$1,001 - $15,000","Gilbert Cisneros
House / D","Apr. 16, 2020","Mar. 31, 2020",-
ALGT,"ALGT
ALLEGIANT TRAVEL COMPANY
ST","Purchase
$1,001 - $15,000","Gilbert Cisneros
House / D","Aug. 19, 2019","Jul. 30, 2019",-
ALGT,"ALGT
ALLEGIANT TRAVEL COMPANY
ST","Purchase
$1,001 - $15,000","Gilbert Cisneros
House / D","Jul. 12, 2019","Jun. 27, 2019",-
ALGT,"ALGT
ALLEGIANT TRAVEL COMPANY
ST","Purchase
$1,001 - $15,000","Josh Gottheimer
House / D","Oct. 02, 2018","May. 04, 2018",-
AAL,"AAL
AMERICAN AIRLINES GROUP, INC.
ST","Sale
$1,001 - $15,000","Patrick Fallon
House / R","Nov. 04, 2021","Oct. 04, 2021",-
AAL,"AAL
AMERICAN AIRLINES GROUP, INC.
ST","Sale
$1,001 - $15,000","Patrick Fallon
House / R","Oct. 05, 2021","Oct. 04, 2021",-
AAL,"AAL
AMERICAN AIRLINES GROUP, INC.
ST","Sale
$1,001 - $15,000","Patrick Fallon
House / R","Sep. 03, 2021","Aug. 10, 2021",-
AAL,"AAL
AMERICAN AIRLINES GROUP, INC.
ST","Sale
$1,001 - $15,000","Patrick Fallon
House / R","Sep. 03, 2021","Aug. 10, 2021",-
AAL,"AAL
AMERICAN AIRLINES GROUP, INC.
ST","Sale
$1,001 - $15,000","Patrick Fallon
House / R","Jul. 02, 2021","Jun. 24, 2021",-
AAL,"AAL
AMERICAN AIRLINES GROUP, INC.
ST","Sale
$1,001 - $15,000","Patrick Fallon
House / R","Jul. 02, 2021","Jun. 24, 2021",-
AAL,"AAL
AMERICAN AIRLINES GROUP, INC.
ST","Purchase
$50,001 - $100,000","Patrick Fallon
House / R","Jul. 02, 2021","May. 26, 2021",-
AAL,"AAL
AMERICAN AIRLINES GROUP, INC.
ST","Sale
$1,001 - $15,000","Patrick Fallon
House / R","Jul. 02, 2021","May. 26, 2021",-
AAL,"AAL
AMERICAN AIRLINES GROUP, INC.
ST","Sale
$1,001 - $15,000","Patrick Fallon
House / R","Jul. 02, 2021","May. 26, 2021",-
AAL,"AAL
AMERICAN AIRLINES GROUP, INC.
ST","Sale
$100,001 - $250,000","Patrick Fallon
House / R","Jul. 02, 2021","May. 24, 2021",-
AAL,"AAL
AMERICAN AIRLINES GROUP, INC.
ST","Purchase
$100,001 - $250,000","Patrick Fallon
House / R","Jun. 17, 2021","Apr. 20, 2021",-
AAL,"AAL
AMERICAN AIRLINES GROUP, INC.
ST","Sale
$1,001 - $15,000","Patrick Fallon
House / R","Jun. 17, 2021","Apr. 20, 2021",-
AAL,"AAL
AMERICAN AIRLINES GROUP, INC.
ST","Sale
$1,001 - $15,000","Patrick Fallon
House / R","Jun. 17, 2021","Apr. 20, 2021",-
AAL,"AAL
AMERICAN AIRLINES GROUP, INC.
ST","Purchase
$1,001 - $15,000","Mark Dr Green
House / R","Apr. 15, 2021","Mar. 24, 2021",-
AAL,"AAL
AMERICAN AIRLINES GROUP, INC.
ST","Purchase
$1,001 - $15,000","Mark Dr Green
House / R","Mar. 28, 2021","Mar. 24, 2021",-
AAL,"AAL
AMERICAN AIRLINES GROUP, INC.
ST","Sale
$1,001 - $15,000","Patrick Fallon
House / R","Jun. 17, 2021","Mar. 23, 2021",-
AAL,"AAL
AMERICAN AIRLINES GROUP, INC.
ST","Purchase
$100,001 - $250,000","Patrick Fallon
House / R","Jun. 17, 2021","Mar. 23, 2021",-
AAL,"AAL
AMERICAN AIRLINES GROUP, INC.
ST","Sale
$100,001 - $250,000","Patrick Fallon
House / R","Jun. 17, 2021","Mar. 22, 2021",-
AAL,"AAL
AMERICAN AIRLINES GROUP, INC.
ST","Purchase
$1,001 - $15,000","Michael K. Simpson
House / R","Apr. 02, 2021","Mar. 18, 2021",-
AAL,"AAL
AMERICAN AIRLINES GROUP, INC.
ST","Purchase
$1,001 - $15,000","Michael K. Simpson
House / R","May. 12, 2023","Mar. 18, 2021",-
AAL,"AAL
AMERICAN AIRLINES GROUP, INC.
ST","Purchase
$1,001 - $15,000","Mark Dr Green
House / R","Mar. 28, 2021","Mar. 16, 2021",-
AAL,"AAL
AMERICAN AIRLINES GROUP, INC.
ST","Sale
$1,001 - $15,000","Patrick Fallon
House / R","Jun. 17, 2021","Feb. 23, 2021",-
AAL,"AAL
AMERICAN AIRLINES GROUP, INC.
ST","Purchase
$100,001 - $250,000","Patrick Fallon
House / R","Jun. 17, 2021","Feb. 23, 2021",-
AAL,"AAL
AMERICAN AIRLINES GROUP, INC.
ST","Sale
$1,001 - $15,000","Dean Phillips
House / D","Feb. 13, 2021","Jan. 05, 2021",-
AAL,"AAL
AMERICAN AIRLINES GROUP, INC.
ST","Purchase
$1,001 - $15,000","Dean Phillips
House / D","Jan. 09, 2021","Dec. 18, 2020",-
AAL,"AAL
AMERICAN AIRLINES GROUP, INC.
ST","Sale
$15,001 - $50,000","Michael Garcia
House / R","Dec. 21, 2020","Dec. 10, 2020",-
AAL,"AAL
AMERICAN AIRLINES GROUP, INC.
ST","Purchase
$15,001 - $50,000","K. Michael Conaway
House / R","Dec. 15, 2020","Nov. 30, 2020",-
AAL,"AAL
AMERICAN AIRLINES GROUP, INC.
ST","Sale
$15,001 - $50,000","Michael Garcia
House / R","Nov. 23, 2020","Nov. 09, 2020",-
AAL,"AAL
AMERICAN AIRLINES GROUP, INC.
ST","Purchase
$15,001 - $50,000","Michael Garcia
House / R","Nov. 23, 2020","Oct. 26, 2020",-
AAL,"AAL
American Airlines Group Inc.
Stock","Sale (Full)
$15,001 - $50,000","Roberts, Pat
Senate / R","Aug. 05, 2020","Jul. 31, 2020",-
AAL,"AAL
AMERICAN AIRLINES GROUP, INC.
ST","Sale
$1,001 - $15,000","Kathy Castor
House / D","Jul. 16, 2020","Jul. 14, 2020",-
AAL,"AAL
AMERICAN AIRLINES GROUP, INC.
ST","Purchase
$15,001 - $50,000","Michael Garcia
House / R","Nov. 23, 2020","Jul. 09, 2020",-
AAL,"AAL
American Airlines Group Inc.
Stock","Sale (Full)
$1,001 - $15,000","Roberts, Pat
Senate / R","Aug. 05, 2020","Jul. 07, 2020",-
AAL,"AAL
American Airlines Group Inc.
Stock","Sale (Full)
$1,001 - $15,000","Roberts, Pat
Senate / R","Aug. 05, 2020","Jul. 02, 2020",-
AAL,"AAL
American Airlines Group Inc.
Stock","Purchase
$1,001 - $15,000","Roberts, Pat
Senate / R","Jul. 06, 2020","Jun. 30, 2020",-
AAL,"AAL
AMERICAN AIRLINES GROUP, INC.
ST","Purchase
$1,001 - $15,000","Adam Kinzinger
House / R","Jul. 21, 2020","Jun. 25, 2020",-
AAL,"AAL
AMERICAN AIRLINES GROUP, INC.
ST","Purchase
$1,001 - $15,000","Adam Kinzinger
House / R","Jul. 21, 2020","Jun. 11, 2020",-
AAL,"AAL
AMERICAN AIRLINES GROUP, INC.
ST","Purchase
$1,001 - $15,000","Adam Kinzinger
House / R","Jul. 21, 2020","Jun. 09, 2020",-
AAL,"AAL
American Airlines Group Inc.
Stock","Purchase
$1,001 - $15,000","Roberts, Pat
Senate / R","Jul. 06, 2020","Jun. 04, 2020",-
AAL,"AAL
American Airlines Group Inc.
Stock","Purchase
$1,001 - $15,000","Roberts, Pat
Senate / R","Jul. 06, 2020","Jun. 04, 2020",-
